Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Daily Return,MA50,MA200
2021-06-29,684.650024,687.51001,675.890015,680.76001,680.76001,17381300,2021,2021-06,-0.011557616063379683,637.6714025,622.769449905
2021-06-30,679.77002,692.809998,678.140015,679.700012,679.700012,18924900,2021,2021-06,-0.0015570802991202726,636.88560294,624.06984999
2021-07-01,683.919983,687.98999,672.799988,677.919983,677.919983,18634500,2021,2021-07,-0.0026188450324758916,635.5616027,625.2106498549999
2021-07-02,678.97998,700.0,673.26001,678.900024,678.900024,27054500,2021,2021-07,0.001445658816049411,634.74580314,626.396349925
2021-07-06,681.710022,684.0,651.400024,659.580017,659.580017,23284500,2021,2021-07,-0.02845780868612846,633.349403,627.577100045
2021-07-07,664.27002,665.700012,638.320007,644.650024,644.650024,18792000,2021,2021-07,-0.022635605408282022,631.47840324,628.589600195
2021-07-08,628.369995,654.429993,620.460022,652.809998,652.809998,22773300,2021,2021-07,0.012657990686741893,630.4398034000001,629.6067001099999
2021-07-09,653.179993,658.909973,644.690002,656.950012,656.950012,18140500,2021,2021-07,0.006341836081989793,629.69080316,630.7703001149999
2021-07-12,662.200012,687.23999,662.159973,685.700012,685.700012,25927000,2021,2021-07,0.04376284264380215,629.8648034,632.29700025
2021-07-13,686.320007,693.280029,666.299988,668.539978,668.539978,20966100,2021,2021-07,-0.025025570511438167,629.04680292,633.700750095
2021-07-14,670.75,678.609985,652.840027,653.380005,653.380005,21641200,2021,2021-07,-0.022676240013877025,628.41640254,634.9309501399999
2021-07-15,658.390015,666.140015,637.880005,650.599976,650.599976,20209600,2021,2021-07,-0.004254842478689014,627.95640254,636.07794996
2021-07-16,654.679993,656.700012,642.200012,644.219971,644.219971,16371000,2021,2021-07,-0.009806340663006674,627.42200192,637.20369978
2021-07-19,629.890015,647.200012,621.289978,646.219971,646.219971,21297100,2021,2021-07,0.003104529648305432,627.07560178,638.289749585
2021-07-20,651.98999,662.390015,640.5,660.5,660.5,15487100,2021,2021-07,0.02209778348060376,626.83820188,639.351449565
2021-07-21,659.609985,664.859985,650.289978,655.289978,655.289978,13953300,2021,2021-07,-0.00788799697199094,627.36320188,640.552449475
2021-07-22,656.440002,662.169983,644.599976,649.26001,649.26001,15105700,2021,2021-07,-0.009201984163414223,628.00440184,641.67034956
2021-07-23,646.359985,648.799988,637.299988,643.380005,643.380005,14604900,2021,2021-07,-0.009056471843999714,629.07420164,642.81734953
2021-07-26,650.969971,668.200012,647.109985,657.619995,657.619995,25336600,2021,2021-07,0.022133093800451586,630.7928015,643.978949565
2021-07-27,663.400024,666.5,627.23999,644.780029,644.780029,32813300,2021,2021-07,-0.01952490206749269,631.8936022800001,645.073249645
2021-07-28,647.0,654.969971,639.400024,646.97998,646.97998,16006600,2021,2021-07,0.0034119403533821036,633.29660154,646.138149545
